genres,N
Action-Adventure-Animation-Comedy-Crime-Family-Fantasy-end,1
Action-Adventure-Animation-Comedy-Drama-Family-Fantasy-Thriller-end,1
Action-Adventure-Animation-Comedy-Drama-Family-SciFi-end,2
Action-Adventure-Animation-Comedy-Family-end,6
Action-Adventure-Animation-Comedy-Family-Fantasy-end,4
Action-Adventure-Animation-Comedy-Family-Fantasy-SciFi-end,2
Action-Adventure-Animation-Comedy-Family-SciFi-end,3
Action-Adventure-Animation-Comedy-Fantasy-end,1
Action-Adventure-Animation-Comedy-Fantasy-SciFi-end,1
Action-Adventure-Animation-Comedy-SciFi-end,1
Action-Adventure-Animation-Drama-Fantasy-SciFi-end,1
Action-Adventure-Animation-Drama-Mystery-SciFi-Thriller-end,1
Action-Adventure-Animation-Family-end,1
Action-Adventure-Animation-Family-Fantasy-end,2
Action-Adventure-Animation-Family-Fantasy-SciFi-end,2
Action-Adventure-Animation-Family-SciFi-end,2
Action-Adventure-Animation-Family-SciFi-Thriller-end,1
Action-Adventure-Animation-Fantasy-end,1
Action-Adventure-Animation-Fantasy-Romance-SciFi-end,1
Action-Adventure-Biography-Drama-History-end,1
Action-Adventure-Biography-Drama-History-Romance-War-end,1
Action-Adventure-Biography-Drama-History-Thriller-end,1
Action-Adventure-Comedy-Crime-end,6
Action-Adventure-Comedy-Crime-Family-Romance-Thriller-end,1
Action-Adventure-Comedy-Crime-Music-Mystery-end,1
Action-Adventure-Comedy-Crime-Mystery-Thriller-end,1
Action-Adventure-Comedy-Crime-Thriller-end,1
Action-Adventure-Comedy-Drama-Music-SciFi-end,1
Action-Adventure-Comedy-Drama-Thriller-end,1
Action-Adventure-Comedy-Drama-War-end,1
Action-Adventure-Comedy-end,11
Action-Adventure-Comedy-Family-end,1
Action-Adventure-Comedy-Family-Fantasy-end,1
Action-Adventure-Comedy-Family-Fantasy-Mystery-SciFi-end,1
Action-Adventure-Comedy-Family-Fantasy-SciFi-end,4
Action-Adventure-Comedy-Family-Mystery-end,1
Action-Adventure-Comedy-Family-Romance-end,1
Action-Adventure-Comedy-Family-Romance-SciFi-end,1
Action-Adventure-Comedy-Family-SciFi-end,8
Action-Adventure-Comedy-Fantasy-end,3
Action-Adventure-Comedy-Fantasy-Mystery-end,1
Action-Adventure-Comedy-Fantasy-Romance-end,1
Action-Adventure-Comedy-Fantasy-SciFi-end,1
Action-Adventure-Comedy-Fantasy-Thriller-end,1
Action-Adventure-Comedy-Musical-end,1
Action-Adventure-Comedy-Music-Thriller-end,1
Action-Adventure-Comedy-Romance-end,2
Action-Adventure-Comedy-Romance-SciFi-end,3
Action-Adventure-Comedy-Romance-Thriller-end,1
Action-Adventure-Comedy-Romance-Thriller-Western-end,1
Action-Adventure-Comedy-SciFi-end,4
Action-Adventure-Comedy-SciFi-Thriller-end,1
Action-Adventure-Comedy-Thriller-end,5
Action-Adventure-Comedy-Western-end,2
Action-Adventure-Crime-Drama-end,1
Action-Adventure-Crime-Drama-Family-Fantasy-Romance-Thriller-end,1
Action-Adventure-Crime-Drama-Mystery-Thriller-end,1
Action-Adventure-Crime-Drama-Romance-end,1
Action-Adventure-Crime-Drama-SciFi-Thriller-end,1
Action-Adventure-Crime-Drama-Thriller-end,1
Action-Adventure-Crime-end,1
Action-Adventure-Crime-Fantasy-Mystery-Thriller-end,1
Action-Adventure-Crime-Mystery-Thriller-end,2
Action-Adventure-Crime-Thriller-end,9
Action-Adventure-Drama-end,5
Action-Adventure-Drama-Family-end,1
Action-Adventure-Drama-Fantasy-end,6
Action-Adventure-Drama-Fantasy-SciFi-end,1
Action-Adventure-Drama-Fantasy-War-end,1
Action-Adventure-Drama-History-end,2
Action-Adventure-Drama-History-Romance-end,3
Action-Adventure-Drama-History-Romance-War-end,1
Action-Adventure-Drama-History-Thriller-War-end,1
Action-Adventure-Drama-History-War-end,7
Action-Adventure-Drama-Horror-SciFi-end,1
Action-Adventure-Drama-Mystery-end,1
Action-Adventure-Drama-Romance-end,4
Action-Adventure-Drama-Romance-SciFi-end,1
Action-Adventure-Drama-Romance-Thriller-end,1
Action-Adventure-Drama-Romance-War-end,2
Action-Adventure-Drama-Romance-Western-end,1
Action-Adventure-Drama-SciFi-end,5
Action-Adventure-Drama-SciFi-Thriller-end,2
Action-Adventure-Drama-Thriller-end,13
Action-Adventure-Drama-Thriller-War-end,1
Action-Adventure-Drama-Thriller-Western-end,1
Action-Adventure-Drama-War-end,1
Action-Adventure-Drama-Western-end,1
Action-Adventure-end,10
Action-Adventure-Family-Fantasy-end,5
Action-Adventure-Family-Fantasy-Romance-end,1
Action-Adventure-Family-Fantasy-SciFi-end,1
Action-Adventure-Family-Fantasy-SciFi-Thriller-end,1
Action-Adventure-Family-Fantasy-Thriller-end,1
Action-Adventure-Family-Mystery-end,1
Action-Adventure-Family-Mystery-SciFi-end,1
Action-Adventure-Family-SciFi-end,2
Action-Adventure-Family-SciFi-Thriller-end,1
Action-Adventure-Family-Thriller-end,1
Action-Adventure-Fantasy-end,29
Action-Adventure-Fantasy-Horror-end,1
Action-Adventure-Fantasy-Horror-SciFi-end,1
Action-Adventure-Fantasy-Horror-SciFi-Thriller-end,1
Action-Adventure-Fantasy-Horror-Thriller-end,1
Action-Adventure-Fantasy-Romance-end,3
Action-Adventure-Fantasy-SciFi-end,13
Action-Adventure-Fantasy-SciFi-Thriller-end,12
Action-Adventure-Fantasy-Thriller-end,6
Action-Adventure-Fantasy-War-end,1
Action-Adventure-History-end,3
Action-Adventure-History-Romance-end,1
Action-Adventure-History-Western-end,1
Action-Adventure-Horror-SciFi-end,4
Action-Adventure-Horror-SciFi-Thriller-end,3
